,1057
the,929
and,680
of,625
to,608
I,523
a,453
my,444
in,382
you,361
Ham.,358
is,299
his,284
it,266
And,259
not,259
that,225
with,224
your,217
this,203
be,187
for,162
have,160
The,152
he,149
me,144
as,144
but,139
will,130
him,121
To,119
That,118
are,118
King.,116
But,115
Hor.,108
our,107
do,105
shall,103
we,101
what,100
on,99
so,96
by,92
What,90
no,88
A,87
Pol.,86
from,83
thou,83
all,83
or,81
thy,81
lord,,81
Queen.,78
at,75
My,75
You,72
they,72
good,71
most,70
As,70
was,70
For,69
more,68
her,68
like,67
Enter,66
would,62
Laer.,62
It,61
lord.,61
if,60
th',60
O,,59
may,59
How,58
Oph.,58
very,57
know,56
I'll,56
hath,55
must,55
you,,53
am,52
let,52
their,52
If,51
He,51
some,51
should,51
an,50
This,50
O,50
such,48
us,46
did,46
Ros.,45
come,44
much,44
them,43
make,43
With,43
Of,43
So,43
Let,43
out,40
love,39
upon,38
In,38
it,,38
which,38
than,38
had,37
there,37
give,37
'Tis,36
now,36
think,36
speak,36
own,36
tell,36
you.,36
me.,35
thee,35
'tis,35
We,35
go,35
she,35
King,34
it.,34
Ay,,34
Or,33
Clown.,33
him.,32
time,32
these,32
too,32
man,32
Mar.,31
lord?,31
me,,30
say,30
Why,,30
When,29
can,29
sir,,29
one,29
see,29
how,29
Guil.,29
up,28
made,28
Is,28
might,28
Hamlet,28
here,28
well,28
Hamlet,,27
dear,27
him,,27
take,26
where,26
Good,26
when,26
Do,26
yet,26
They,26
Hamlet.,25
been,25
father,25
Your,25
No,,25
Come,,25
Osr.,25
Where,24
doth,24
cannot,24
great,24
were,24
could,24
Why,23
i',23
into,23
Nay,,22
hear,22
thus,22
does,22
put,22
Elsinore.,21
Who,21
Give,21
hold,21
mine,21
whose,21
nor,21
itself,21
Then,21
soul,21
call,21
Will,21
Scene,20
Ghost.,20
now,,20
set,20
two,19
Ber.,19
against,19
By,19
so.,19
those,19
Which,19
show,19
Exeunt,19
poor,19
both,19
part,18
heaven,18
then,18
comes,18
look,18
His,18
this,,18
No,18
Now,18
old,18
father's,18
sweet,18
Exit.,17
seen,17
world,17
head,17
though,17
find,17
that,,17
leave,17
noble,17
pray,17
Be,17
not,,17
well.,17
many,17
play,17
Laertes,,16
Queen,16
Have,16
them.,16
dead,16
Nor,16
never,16
God,16
Rosencrantz,16
nothing,16
Horatio,,15
Castle.,15
Not,15
believe,15
us,,15
little,15
Upon,15
death,15
nature,15
keep,15
Go,15
There's,15
There,15
Polonius.,14
mother,14
down,14
Look,14
Thou,14
fair,14
But,,14
young,14
earth,14
hast,14
And,,14
makes,14
I,,14
sir.,14
Lord,13
before,13
live,13
you?,13
What,,13
thing,13
night,,13
night,13
Did,13
true,13
Our,13
even,13
hand,13
use,13
life,13
about,13
bear,13
King,,13
so,,13
heaven,,13
Would,13
lord!,13
means,13
between,13
words,13
not.,13
love,,13
Rey.,13
Ophelia,,12
art,12
Most,12
fear,12
At,12
know,,12
life,,12
any,12
then,,12
o'er,12
Exeunt.,12
room,12
Queen,,12
Yet,12
Than,12
thoughts,12
All,12
These,12
who,12
off,12
sent,12
without,12
well,,12
matter,12
Other.,12
son,11
Horatio.,11
has,11
form,11
Whose,11
other,11
say,,11
Th',11
better,11
From,11
indeed,11
heart,11
first,11
body,11
Sir,,11
saw,11
this?,11
do,,11
else,11
play.,11
youth,11
day,11
cause,11
[Exit,11
madness,11
players,11
eyes,10
once,10
same,10
Exit,10
something,10
me?,10
last,10
question,10
ere,10
oft,10
heard,10
far,10
reason,10
duty,10
Take,10
[aside],10
ever,10
